Conta: 
Titular: 
Data Inicial: 01/01/2021
Data Final: 31/03/2021

Subconta;Ativo;Abertura;Fechamento;Tempo Operação;Qtd;Lado;Preço Compra;Preço Venda;Médio;Resultado;Resultado(%);Total;TET
 - ;WDOFUT;11/01/2021 17:20:55;11/01/2021 17:47:18;26min23s;1;C;5.519,59;5.522,60;Não;30,10;3,01;30,10; - 
 - ;WDOFUT;12/01/2021 09:23:32;12/01/2021 09:26:29;2min57s;1;V;5.495,51;5.495,51;Não;0;0;30,10;16h2min36s
 - ;WDOFUT;12/01/2021 09:33:00;12/01/2021 09:36:44;3min43s;1;V;5.498,52;5.492,50;Não;-60,19;-6,02;-30,10;9min28s
 - ;WDOFUT;12/01/2021 09:37:47;12/01/2021 09:39:18;1min30s;1;V;5.501,53;5.495,51;Sim;-60,19;-6,02;-90,29;4min47s
 - ;WDOFUT;12/01/2021 09:42:16;12/01/2021 09:44:34;2min17s;1;C;5.504,54;5.498,52;Sim;-60,19;-6,02;-150,48;4min28s
 - ;WDOFUT;12/01/2021 09:48:16;12/01/2021 09:50:02;1min46s;1;C;5.504,54;5.501,53;Sim;-30,10;-3,01;-180,58;5min59s
 - ;WDOFUT;12/01/2021 09:56:22;12/01/2021 10:03:51;7min28s;1;V;5.486,48;5.492,50;Não;60,19;6,02;-120,39;8min6s
 - ;WDOFUT;12/01/2021 10:21:12;12/01/2021 10:27:26;6min13s;1;C;5.504,54;5.498,52;Sim;-60,19;-6,02;-180,58;24min49s
 - ;WDOFUT;12/01/2021 10:30:06;12/01/2021 10:32:14;2min8s;1;C;5.501,53;5.495,51;Sim;-60,19;-6,02;-240,77;8min53s
 - ;WDOFUT;12/01/2021 10:33:15;12/01/2021 10:35:13;1min58s;1;C;5.501,53;5.504,54;Não;30,10;3,01;-210,67;3min9s
 - ;WDOFUT;12/01/2021 10:58:27;12/01/2021 11:05:55;7min28s;1;V;5.498,52;5.492,50;Sim;-60,19;-6,02;-270,87;25min12s
 - ;WDOFUT;12/01/2021 12:51:25;12/01/2021 12:58:17;6min52s;1;V;5.459,39;5.468,42;Não;90,29;9,03;-180,58;1h52min58s
 - ;WDOFUT;12/01/2021 13:10:39;12/01/2021 13:22:59;12min19s;1;V;5.450,37;5.453,38;Não;30,10;3,01;-150,48;19min14s
 - ;WDOFUT;12/01/2021 13:53:28;12/01/2021 14:09:11;15min43s;1;V;5.438,33;5.441,34;Não;30,10;3,01;-120,39;42min48s
 - ;WDOFUT;12/01/2021 14:14:16;12/01/2021 14:15:33;1min16s;1;V;5.441,34;5.435,32;Não;-60,19;-6,02;-180,58;20min48s
 - ;WDOFUT;12/01/2021 14:28:06;12/01/2021 14:47:07;19min1s;1;V;5.426,29;5.432,31;Não;60,19;6,02;-120,39;13min49s
 - ;WDOFUT;13/01/2021 09:13:32;13/01/2021 09:16:58;3min26s;1;C;5.369,11;5.366,10;Sim;-30,10;-3,01;-150,48;18h45min26s
 - ;WDOFUT;13/01/2021 09:18:11;13/01/2021 09:21:15;3min3s;1;C;5.366,10;5.363,09;Sim;-30,10;-3,01;-180,58;4min39s
 - ;WDOFUT;13/01/2021 09:30:38;13/01/2021 09:37:39;7min1s;1;C;5.366,10;5.363,09;Sim;-30,10;-3,01;-210,67;12min26s
 - ;WDOFUT;13/01/2021 10:28:29;13/01/2021 10:30:16;1min46s;1;C;5.357,07;5.354,06;Sim;-30,10;-3,01;-240,77;57min51s
 - ;WDOFUT;13/01/2021 10:37:54;13/01/2021 10:43:23;5min29s;1;V;5.342,02;5.339,01;Não;-30,10;-3,01;-270,87;9min24s
 - ;WDOFUT;13/01/2021 11:49:32;13/01/2021 11:50:38;1min6s;1;C;5.360,08;5.354,06;Não;-60,19;-6,02;-331,06;1h11min37s
 - ;WDOFUT;13/01/2021 11:59:45;13/01/2021 12:02:47;3min1s;1;C;5.363,09;5.360,08;Não;-30,10;-3,01;-361,15;10min13s
 - ;WDOFUT;13/01/2021 12:51:11;13/01/2021 12:53:00;1min49s;1;C;5.342,02;5.339,01;Sim;-30,10;-3,01;-391,25;51min25s
 - ;WDOFUT;13/01/2021 12:57:23;13/01/2021 13:00:17;2min54s;1;V;5.308,92;5.329,98;Não;210,67;21,07;-180,58;6min12s
 - ;WDOFUT;13/01/2021 13:37:36;13/01/2021 13:52:23;14min47s;1;V;5.305,91;5.311,93;Não;60,19;6,02;-120,39;40min12s
 - ;WDOFUT;13/01/2021 13:55:32;13/01/2021 13:56:45;1min13s;1;V;5.311,93;5.305,91;Não;-60,19;-6,02;-180,58;17min55s
 - ;WDOFUT;13/01/2021 14:09:24;13/01/2021 14:20:38;11min14s;1;C;5.323,96;5.342,02;Sim;180,58;18,06;0,00;13min52s
 - ;WDOFUT;13/01/2021 14:34:06;13/01/2021 14:34:55;49s;1;C;5.336,00;5.332,99;Não;-30,10;-3,01;-30,10;24min41s
 - ;WDOFUT;13/01/2021 14:38:30;13/01/2021 14:39:05;34s;1;C;5.339,01;5.332,99;Não;-60,19;-6,02;-90,29;4min24s
 - ;WDOFUT;13/01/2021 14:47:32;13/01/2021 14:51:28;3min56s;1;C;5.336,00;5.329,98;Sim;-60,19;-6,02;-150,48;9min1s
 - ;WDOFUT;13/01/2021 14:52:43;13/01/2021 15:01:46;9min3s;1;V;5.323,96;5.326,97;Sim;30,10;3,01;-120,39;5min11s
 - ;WDOFUT;13/01/2021 15:12:10;13/01/2021 15:20:02;7min52s;1;C;5.336,00;5.329,98;Não;-60,19;-6,02;-180,58;19min26s
 - ;WDOFUT;13/01/2021 15:22:51;13/01/2021 15:23:42;51s;1;C;5.329,98;5.323,96;Sim;-60,19;-6,02;-240,77;10min41s
 - ;WDOFUT;13/01/2021 15:25:07;13/01/2021 15:52:05;26min58s;1;C;5.326,97;5.326,97;Sim;0;0;-240,77;2min16s
 - ;WDOFUT;13/01/2021 15:58:17;13/01/2021 16:17:12;18min54s;1;V;5.314,93;5.317,94;Não;30,10;3,01;-210,68;33min10s
 - ;WDOFUT;13/01/2021 16:30:47;13/01/2021 16:44:17;13min30s;1;V;5.320,95;5.317,94;Sim;-30,10;-3,01;-240,77;32min29s
 - ;WDOFUT;13/01/2021 16:55:40;13/01/2021 17:11:49;16min9s;1;C;5.326,97;5.323,96;Não;-30,10;-3,01;-270,87;24min52s
 - ;WDOFUT;13/01/2021 17:30:17;13/01/2021 17:45:11;14min54s;1;C;5.329,98;5.323,96;Não;-60,19;-6,02;-331,06;34min37s
 - ;WDOFUT;14/01/2021 09:26:36;14/01/2021 09:27:50;1min14s;1;V;5.290,86;5.284,84;Não;-60,19;-6,02;-391,25;15h56min18s
 - ;WDOFUT;14/01/2021 09:33:20;14/01/2021 09:34:48;1min27s;1;V;5.287,85;5.284,84;Não;-30,10;-3,01;-421,35;6min44s
 - ;WDOFUT;14/01/2021 09:42:59;14/01/2021 09:44:04;1min5s;1;V;5.287,85;5.281,83;Não;-60,19;-6,02;-481,54;9min38s
 - ;WDOFUT;14/01/2021 10:03:52;14/01/2021 10:05:25;1min32s;1;C;5.299,89;5.296,88;Sim;-30,10;-3,01;-511,63;20min53s
 - ;WDOFUT;14/01/2021 10:45:05;14/01/2021 10:47:54;2min48s;1;C;5.296,88;5.290,86;Sim;-60,19;-6,02;-571,83;41min12s
 - ;WDOFUT;14/01/2021 11:01:00;14/01/2021 11:10:33;9min33s;1;C;5.296,88;5.290,86;Sim;-60,19;-6,02;-632,02;15min54s
 - ;WDOFUT;14/01/2021 11:14:21;14/01/2021 11:27:25;13min3s;1;C;5.296,88;5.305,91;Sim;90,29;9,03;-541,73;13min21s
 - ;WDOFUT;14/01/2021 11:41:19;14/01/2021 11:43:50;2min30s;1;C;5.317,94;5.311,93;Não;-60,19;-6,02;-601,92;26min57s
 - ;WDOFUT;14/01/2021 11:50:00;14/01/2021 12:07:33;17min32s;1;V;5.287,85;5.302,90;Sim;150,48;15,05;-451,44;8min41s
 - ;WDOFUT;14/01/2021 13:29:30;14/01/2021 13:37:10;7min40s;1;V;5.248,72;5.242,70;Não;-60,19;-6,02;-511,63;1h39min29s
 - ;WDOFUT;14/01/2021 13:43:12;14/01/2021 13:52:25;9min13s;1;V;5.248,72;5.242,70;Sim;-60,19;-6,02;-571,83;13min42s
 - ;WDOFUT;14/01/2021 14:12:14;14/01/2021 14:18:11;5min56s;1;V;5.242,70;5.236,69;Não;-60,19;-6,02;-632,02;29min1s
 - ;WDOFUT;14/01/2021 14:29:36;14/01/2021 14:35:30;5min53s;1;V;5.233,68;5.236,69;Não;30,10;3,01;-601,92;17min22s
 - ;WDOFUT;15/01/2021 09:25:31;15/01/2021 09:29:51;4min19s;1;C;5.263,77;5.257,75;Sim;-60,19;-6,02;-662,11;18h55min55s
 - ;WDOFUT;15/01/2021 09:30:42;15/01/2021 09:49:36;18min53s;1;C;5.263,77;5.284,84;Sim;210,67;21,07;-451,44;5min10s
 - ;WDOFUT;15/01/2021 10:29:10;15/01/2021 10:30:26;1min16s;1;C;5.281,83;5.278,82;Não;-30,10;-3,01;-481,54;58min28s
 - ;WDOFUT;15/01/2021 10:37:13;15/01/2021 10:40:02;2min48s;1;C;5.281,83;5.278,82;Não;-30,10;-3,01;-511,63;8min2s
 - ;WDOFUT;15/01/2021 10:41:09;15/01/2021 10:44:04;2min54s;1;C;5.284,84;5.278,82;Não;-60,19;-6,02;-571,83;3min56s
 - ;WDOFUT;15/01/2021 10:49:10;15/01/2021 10:58:38;9min27s;1;C;5.284,84;5.287,85;Sim;30,10;3,01;-541,73;8min
 - ;WDOFUT;15/01/2021 11:25:19;15/01/2021 11:30:13;4min54s;1;C;5.299,89;5.293,87;Não;-60,19;-6,02;-601,92;36min9s
 - ;WDOFUT;15/01/2021 12:06:52;15/01/2021 12:11:10;4min18s;1;C;5.299,89;5.305,91;Não;60,19;6,02;-541,73;41min32s
 - ;WDOFUT;15/01/2021 12:34:21;15/01/2021 12:37:40;3min19s;1;V;5.284,84;5.287,85;Sim;30,10;3,01;-511,63;27min29s
 - ;WDOFUT;15/01/2021 12:59:14;15/01/2021 13:00:10;55s;1;V;5.284,84;5.284,84;Não;0;0;-511,63;24min53s
 - ;WDOFUT;15/01/2021 13:09:33;15/01/2021 13:15:04;5min31s;1;C;5.299,89;5.293,87;Não;-60,19;-6,02;-571,82;10min18s
 - ;WDOFUT;15/01/2021 13:20:47;15/01/2021 13:36:23;15min36s;1;V;5.251,73;5.284,84;Não;331,06;33,11;-240,77;11min13s
 - ;WDOFUT;15/01/2021 14:31:21;15/01/2021 14:48:54;17min33s;1;C;5.284,84;5.284,84;Sim;0;0;-240,77;1h10min34s
 - ;WDOFUT;15/01/2021 14:53:51;15/01/2021 14:55:14;1min22s;1;V;5.275,81;5.272,80;Não;-30,10;-3,01;-270,86;22min30s
 - ;WDOFUT;15/01/2021 15:10:33;15/01/2021 15:30:38;20min5s;1;C;5.287,85;5.302,90;Não;150,48;15,05;-120,39;16min41s
