Conta: 
Titular: 
Data Inicial: 01/01/2020
Data Final: 12/04/2021

Subconta;Ativo;Abertura;Fechamento;Tempo Operação;Qtd Compra;Qtd Venda;Lado;Preço Compra;Preço Venda;Preço de Mercado;Médio;Resultado;Resultado(%);Res. Operação;Res. Operação (%);Total;TET
 - ;WDOFUT;16/11/2020 11:46:24;16/11/2020 11:59:03;12min38s;1;1;C;5.442,30;5.456,34;5.743,00;Não;140,36;14,04;140,36;14,04;140,36; - 
 - ;WDOFUT;16/11/2020 13:02:07;16/11/2020 13:30:48;28min41s;1;1;V;5.442,30;5.438,79;5.743,00;Não;-35,09;-3,51;-35,09;-3,51;105,27;1h15min42s
 - ;WDOFUT;16/11/2020 14:46:00;16/11/2020 14:57:52;11min51s;1;1;C;5.445,81;5.449,32;5.743,00;Não;35,09;3,51;35,09;3,51;140,36;1h43min53s
 - ;WDOFUT;16/11/2020 15:35:07;16/11/2020 15:37:14;2min7s;1;1;V;5.438,79;5.431,77;5.743,00;Não;-70,18;-7,02;-70,18;-7,02;70,18;49min6s
 - ;WDOFUT;16/11/2020 15:38:19;16/11/2020 15:40:26;2min7s;1;1;V;5.435,28;5.431,77;5.743,00;Sim;-35,09;-3,51;-35,09;-3,51;35,09;3min11s
 - ;WDOFUT;16/11/2020 15:44:42;16/11/2020 15:54:55;10min13s;1;1;C;5.445,81;5.452,83;5.743,00;Não;70,18;7,02;70,18;7,02;105,27;6min23s
 - ;WDOFUT;17/11/2020 10:49:01;17/11/2020 10:50:34;1min33s;1;1;V;5.417,74;5.410,72;5.743,00;Não;-70,18;-7,02;-70,18;-7,02;35,09;19h4min19s
 - ;WDOFUT;17/11/2020 11:11:27;17/11/2020 11:20:52;9min24s;1;1;V;5.424,76;5.417,74;5.743,00;Sim;-70,18;-7,02;-70,18;-7,02;-35,09;22min25s
 - ;WDOFUT;17/11/2020 11:31:01;17/11/2020 11:37:07;6min6s;1;1;V;5.421,25;5.414,23;5.743,00;Não;-70,18;-7,02;-70,18;-7,02;-105,27;19min33s
 - ;WDOFUT;17/11/2020 11:57:26;17/11/2020 12:03:02;5min36s;1;1;V;5.414,23;5.410,72;5.743,00;Não;-35,09;-3,51;-35,09;-3,51;-140,36;26min24s
