Conta: 
Titular: 
Data Inicial: 01/01/2021
Data Final: 31/03/2021

Subconta;Ativo;Abertura;Fechamento;Tempo Operação;Qtd;Lado;Preço Compra;Preço Venda;Médio;Resultado;Resultado(%);Total;TET
 - ;WDOFUT;04/01/2021 11:41:30;04/01/2021 11:48:03;6min32s;1;V;5.156,93;5.164,96;Não;80,22;8,02;80,22; - 
 - ;WDOFUT;04/01/2021 11:54:52;04/01/2021 11:56:11;1min19s;1;V;5.161,45;5.154,42;Não;-70,22;-7,02;10,00;13min22s
 - ;WDOFUT;04/01/2021 11:57:48;04/01/2021 11:58:32;43s;1;V;5.156,93;5.157,93;Sim;10,00;1,00;20,00;2min56s
 - ;WDOFUT;04/01/2021 13:04:33;04/01/2021 13:04:42;9s;1;C;5.231,67;5.229,16;Não;-25,11;-2,51;-5,11;1h6min44s
 - ;WDOFUT;04/01/2021 13:23:54;04/01/2021 13:27:06;3min11s;1;C;5.235,18;5.239,69;Não;45,11;4,51;40,00;19min21s
 - ;WDOFUT;04/01/2021 13:32:23;04/01/2021 13:49:50;17min27s;1;C;5.245,71;5.253,74;Não;80,22;8,02;120,23;8min28s
 - ;WDOFUT;04/01/2021 13:54:19;04/01/2021 14:15:25;21min6s;1;C;5.259,76;5.285,34;Não;255,78;25,58;376,01;21min56s
 - ;WDOFUT;04/01/2021 14:27:08;04/01/2021 14:29:56;2min47s;1;C;5.280,83;5.277,31;Não;-35,11;-3,51;340,90;32min48s
 - ;WDOFUT;04/01/2021 14:31:54;04/01/2021 14:40:47;8min52s;1;C;5.280,83;5.285,34;Não;45,11;4,51;386,01;4min46s
 - ;WDOFUT;04/01/2021 16:21:10;04/01/2021 16:25:26;4min15s;1;C;5.291,36;5.287,85;Não;-35,11;-3,51;350,90;1h49min15s
 - ;WDOFUT;04/01/2021 16:42:40;04/01/2021 16:45:13;2min33s;1;C;5.291,36;5.295,87;Não;45,11;4,51;396,01;21min29s
 - ;WDOFUT;05/01/2021 11:43:16;05/01/2021 11:46:15;2min59s;1;V;5.319,45;5.312,43;Sim;-70,22;-7,02;325,78;19h35s
 - ;WDOFUT;05/01/2021 11:49:09;05/01/2021 11:51:10;2min1s;1;V;5.318,45;5.315,94;Sim;-25,11;-2,51;300,67;5min53s
 - ;WDOFUT;05/01/2021 11:56:34;05/01/2021 12:00:26;3min52s;1;V;5.314,94;5.312,43;Não;-25,11;-2,51;275,56;7min24s
 - ;WDOFUT;05/01/2021 13:10:43;05/01/2021 13:20:22;9min38s;1;C;5.347,54;5.345,03;Não;-25,11;-2,51;250,45;1h14min9s
 - ;WDOFUT;05/01/2021 14:12:08;05/01/2021 14:24:34;12min26s;1;V;5.307,92;5.312,43;Sim;45,11;4,51;295,56;1h1min25s
 - ;WDOFUT;05/01/2021 14:39:19;05/01/2021 14:55:00;15min40s;1;V;5.311,43;5.308,92;Não;-25,11;-2,51;270,45;27min10s
 - ;WDOFUT;05/01/2021 15:15:53;05/01/2021 15:22:12;6min19s;1;V;5.283,34;5.301,89;Não;185,56;18,56;456,01;36min33s
 - ;WDOFUT;05/01/2021 16:08:18;05/01/2021 16:17:18;8min59s;1;V;5.286,85;5.284,34;Não;-25,11;-2,51;430,90;52min25s
 - ;WDOFUT;05/01/2021 16:33:11;05/01/2021 16:41:51;8min39s;1;V;5.283,34;5.280,83;Não;-25,11;-2,51;405,78;24min52s
 - ;WDOFUT;06/01/2021 10:38:06;06/01/2021 10:39:48;1min42s;1;V;5.298,38;5.291,36;Sim;-70,22;-7,02;335,56;18h4min54s
 - ;WDOFUT;06/01/2021 10:56:29;06/01/2021 11:00:03;3min34s;1;C;5.315,94;5.316,94;Sim;10,00;1,00;345,56;18min23s
 - ;WDOFUT;06/01/2021 11:07:41;06/01/2021 11:08:30;49s;1;C;5.319,45;5.320,45;Não;10,00;1,00;355,56;11min11s
 - ;WDOFUT;06/01/2021 11:14:46;06/01/2021 11:18:38;3min51s;1;C;5.326,47;5.348,54;Não;220,67;22,07;576,23;7min5s
