Conta: 
Titular: 
Data Inicial: 01/01/2021
Data Final: 31/03/2021

Subconta;Ativo;Abertura;Fechamento;Tempo Operação;Qtd;Lado;Preço Compra;Preço Venda;Médio;Resultado;Resultado(%);Total;TET
 - ;WDOFUT;04/01/2021 10:03:31;04/01/2021 10:28:29;24min58s;1;C;5.158,94;5.167,52;Não;85,82;8,58;85,82; - 
 - ;WDOFUT;04/01/2021 10:35:41;04/01/2021 10:35:41;-;1;V;5.184,46;5.167,46;Não;-170,00;-17,00;-84,19;32min9s
 - ;WDOFUT;05/01/2021 12:05:45;05/01/2021 12:22:36;16min51s;1;C;5.329,48;5.329,54;Não;0,54;0,05;-83,64;1d1h
 - ;WDOFUT;05/01/2021 17:28:02;05/01/2021 18:24:15;56min12s;1;C;5.295,37;5.312,43;Sim;170,54;17,05;86,90;5h22min16s
 - ;WDOFUT;06/01/2021 09:35:55;06/01/2021 09:53:51;17min55s;1;C;5.278,32;5.312,48;Sim;341,63;34,16;428,53;16h7min53s
 - ;WDOFUT;06/01/2021 10:07:42;06/01/2021 10:25:29;17min47s;1;V;5.295,32;5.312,43;Sim;171,09;17,11;599,62;31min47s
 - ;WDOFUT;06/01/2021 10:37:01;06/01/2021 11:36:25;59min23s;1;C;5.295,37;5.363,64;Não;682,72;68,27;1.282,34;29min19s
 - ;WDOFUT;06/01/2021 12:53:02;06/01/2021 13:06:31;13min28s;1;C;5.355,06;5.346,59;Não;-84,73;-8,47;1.197,61;2h16min
 - ;WDOFUT;06/01/2021 16:10:08;06/01/2021 16:10:51;43s;1;C;5.295,37;5.286,90;Sim;-84,73;-8,47;1.112,88;3h17min5s
 - ;WDOFUT;06/01/2021 17:37:31;06/01/2021 17:49:10;11min39s;1;V;5.337,95;5.329,48;Sim;-84,73;-8,47;1.028,15;1h27min23s
 - ;WDOFUT;07/01/2021 09:51:52;07/01/2021 09:51:52;-;1;C;5.355,06;5.338,06;Não;-170,00;-17,00;858,15;16h14min20s
 - ;WDOFUT;07/01/2021 11:20:07;07/01/2021 12:26:13;1h6min6s;1;C;5.338,01;5.389,23;Sim;512,17;51,22;1.370,32;1h28min14s
 - ;WDOFUT;08/01/2021 09:23:42;08/01/2021 09:23:42;-;1;C;5.397,70;5.380,70;Não;-170,00;-17,00;1.200,32;22h3min35s
 - ;WDOFUT;08/01/2021 10:30:41;08/01/2021 10:37:18;6min37s;1;C;5.380,64;5.372,17;Sim;-84,73;-8,47;1.115,60;1h6min58s
 - ;WDOFUT;08/01/2021 10:55:07;08/01/2021 12:01:31;1h6min23s;1;C;5.363,59;5.414,81;Sim;512,17;51,22;1.627,77;24min26s
 - ;WDOFUT;11/01/2021 14:35:59;11/01/2021 14:43:18;7min19s;1;C;5.508,55;5.500,08;Não;-84,73;-8,47;1.543,04;3d3h
 - ;WDOFUT;12/01/2021 12:49:05;12/01/2021 12:49:05;-;1;C;5.474,44;5.457,44;Sim;-170,00;-17,00;1.373,04;22h13min6s
 - ;WDOFUT;13/01/2021 09:00:43;13/01/2021 09:00:43;-;1;C;5.355,06;5.363,59;Sim;85,27;8,53;1.458,31;20h11min37s
 - ;WDOFUT;13/01/2021 11:18:42;13/01/2021 11:42:07;23min24s;1;C;5.312,43;5.346,59;Sim;341,63;34,16;1.799,94;2h17min59s
 - ;WDOFUT;13/01/2021 12:05:59;13/01/2021 12:19:41;13min41s;1;V;5.329,43;5.346,54;Sim;171,09;17,11;1.971,03;47min16s
 - ;WDOFUT;13/01/2021 12:28:19;13/01/2021 12:41:21;13min2s;1;C;5.329,48;5.329,54;Não;0,54;0,05;1.971,57;22min20s
 - ;WDOFUT;13/01/2021 14:01:44;13/01/2021 14:20:05;18min21s;1;C;5.320,95;5.329,54;Sim;85,81;8,58;2.057,39;1h33min25s
 - ;WDOFUT;14/01/2021 09:38:31;14/01/2021 10:04:58;26min27s;1;C;5.295,37;5.286,90;Sim;-84,73;-8,47;1.972,66;19h36min46s
 - ;WDOFUT;14/01/2021 11:49:56;14/01/2021 13:07:31;1h17min34s;1;V;5.252,68;5.303,90;Não;512,17;51,22;2.484,83;2h11min25s
 - ;WDOFUT;15/01/2021 09:03:18;15/01/2021 09:45:26;42min7s;1;C;5.235,68;5.269,85;Sim;341,63;34,16;2.826,46;21h13min21s
 - ;WDOFUT;15/01/2021 10:17:13;15/01/2021 10:17:13;-;1;V;5.286,79;5.269,79;Não;-170,00;-17,00;2.656,46;1h13min54s
 - ;WDOFUT;15/01/2021 11:44:58;15/01/2021 11:48:07;3min8s;1;V;5.295,32;5.286,85;Sim;-84,73;-8,47;2.571,74;1h27min45s
 - ;WDOFUT;15/01/2021 13:50:49;15/01/2021 14:12:13;21min23s;1;C;5.261,26;5.269,85;Não;85,81;8,58;2.657,55;2h5min51s
 - ;WDOFUT;18/01/2021 12:47:14;18/01/2021 12:47:14;-;1;C;5.295,37;5.278,37;Não;-170,00;-17,00;2.487,55;2d22h
 - ;WDOFUT;18/01/2021 13:33:14;18/01/2021 16:56:20;3h23min5s;1;C;5.278,32;5.303,95;Sim;256,36;25,64;2.743,91;46min
 - ;WDOFUT;19/01/2021 09:48:22;19/01/2021 12:20:07;2h31min45s;1;C;5.278,32;5.329,54;Sim;512,17;51,22;3.256,08;20h15min7s
 - ;WDOFUT;20/01/2021 11:58:55;20/01/2021 11:58:55;-;1;C;5.329,48;5.312,48;Não;-170,00;-17,00;3.086,08;1d2h
 - ;WDOFUT;21/01/2021 09:16:59;21/01/2021 09:31:17;14min18s;1;C;5.269,79;5.261,32;Sim;-84,73;-8,47;3.001,36;21h18min3s
 - ;WDOFUT;26/01/2021 10:09:07;26/01/2021 10:29:24;20min17s;1;C;5.440,33;5.431,86;Não;-84,73;-8,47;2.916,63;5d
 - ;WDOFUT;26/01/2021 13:20:30;26/01/2021 13:49:29;28min58s;1;C;5.380,64;5.372,17;Sim;-84,73;-8,47;2.831,90;3h11min22s
 - ;WDOFUT;26/01/2021 15:41:45;26/01/2021 15:41:45;-;1;C;5.372,12;5.355,12;Sim;-170,00;-17,00;2.661,90;2h21min15s
 - ;WDOFUT;26/01/2021 17:14:40;27/01/2021 09:00:45;15h46min5s;1;C;5.355,06;5.389,17;Sim;341,09;34,11;3.002,99;1h32min54s
 - ;WDOFUT;28/01/2021 11:15:52;28/01/2021 11:25:50;9min57s;1;C;5.431,81;5.431,86;Não;0,54;0,05;3.003,53;1d18h
 - ;WDOFUT;28/01/2021 14:32:30;28/01/2021 15:52:50;1h20min20s;1;C;5.431,81;5.440,39;Não;85,82;8,58;3.089,34;3h16min37s
